# DİA (TDV İslâm Ansiklopedisi) transkripsiyon sözlüğü
# Sütun 1: metinde geçen yüzey biçimi (küçük harf; ' ’ ‘ ve â î û işaretleri
#           eşleştirmede yok sayılır, yani "ef'al" ile "efal" aynı anahtardır)
# Sütun 2: DİA transkripsiyonlu karşılığı
# Eşleştirme "en uzun önek + geçerli Türkçe ek" kuralıyla yapılır:
#   hikmet -> ḥikmet, hikmete -> ḥikmete, hikmetin -> ḥikmetin
# Yeni kelime eklemek için satır eklemeniz yeterlidir; satır başına # koyarsanız yok sayılır.
# ---------------------------------------------------------------------------
abd	ʿabd
beyan	beyân
beyanat	beyânât
beynelmilel	beyne'l-milel
beyne	beyne
bihakkın	bihaḳḳın
bilahare	bilâhare
bilcümle	bilcümle
bilhassa	bilḫâṣṣa
bilvasıta	bi'l-vâsıṭa
binaenaleyh	binâenaleyh
bizzat	biẕẕât
burhan	burhân
büyük	büyük
cahil	câhil
cahiliyet	câhiliyyet
caiz	câʾiz
cami	câmiʿ
can	cân
cari	cârî
cazibe	câẕibe
cebir	cebir
cehalet	cehâlet
celadet	celâdet
celb	celb
celil	celîl
celile	celîle
cemaat	cemâʿat
cemal	cemâl
cemile	cemîle
cemiyet	cemʿiyyet
cemiyat	cemʿiyyât
cem	cemʿ
cenab	cenâb
cenabı	cenâb-ı
cenin	cenîn
cennet	cennet
cereyan	cereyân
cevab	cevâb
cevap	cevâb
cevher	cevher
cevheri	cevherî
ceza	cezâ
cihad	cihâd
cihan	cihân
cihet	cihet
cinayet	cinâyet
cins	cins
cismani	cismânî
cüret	cürʾet
cüz	cüzʾ
cüzi	cüzʾî
daima	dâʾimâ
daimi	dâʾimî
daim	dâʾim
daire	dâʾire
dair	dâʾir
dava	daʿvâ
davet	daʿvet
defa	defʿa
def	defʿ
delail	delâʾil
delalet	delâlet
delil	delîl
derece	derece
dergah	dergâh
derhal	derḥâl
derun	derûn
devam	devâm
devir	devir
devlet	devlet
devr	devr
dıraz	dırâz
dimağ	dimâġ
dimağı	dimâġī
dimağiye	dimâġıyye
din	dîn
dindar	dîndâr
dini	dînî
diniye	dîniyye
diyanet	diyânet
dua	duʿâʾ
duçar	dûçâr
dünya	dünyâ
dünyevi	dünyevî
düstur	düstûr
ebedi	ebedî
ebediyet	ebediyyet
ebeveyn	ebeveyn
ebu	Ebû
ecdad	ecdâd
ecir	ecir
ecnebi	ecnebî
ecram	ecrâm
ecsam	ecsâm
edeb	edeb
edep	edeb
edebi	edebî
edebiyat	edebiyyât
edyan	edyân
efal	efʿâl
efendi	efendi
efkar	efkâr
efrad	efrâd
efzun	efzûn
ehemmiyet	ehemmiyyet
ehl	ehl
ehil	ehl
ekanim	eḳānîm
ekmel	ekmel
ekrem	ekrem
ekser	eks̱er
ekseriya	eks̱eriyâ
ekseriyet	eks̱eriyyet
elbette	elbette
elhasıl	el-ḥâṣıl
elvah	elvâḥ
emanet	emânet
emel	emel
emin	emîn
emniyet	emniyyet
emr	emr
emraz	emrâż
emsal	ems̱âl
enam	enʿâm
enbiya	enbiyâʾ
envar	envâr
erbab	erbâb
esas	esâs
esasen	esâsen
esasi	esâsî
esbab	esbâb
eser	es̱er
eshab	aṣḥâb
esir	es̱îr
esna	es̱nâ
eşya	eşyâ
etibba	eṭibbâʾ
etraf	eṭrâf
evham	evhâm
evkat	evḳāt
evlad	evlâd
evlat	evlâd
evsaf	evṣâf
evvel	evvel
evvela	evvelâ
eyyam	eyyâm
ezcümle	ezcümle
ezeli	ezelî
ezeliyet	ezeliyyet
faaliyet	faʿâliyyet
facia	fâciʿa
fahri	faḫrî
faide	fâʾide
fail	fâʿil
fakat	faḳaṭ
fakir	faḳīr
fakih	faḳīh
fani	fânî
fariza	farîża
farz	farż
fasıl	faṣıl
fazilet	fażîlet
fazl	fażl
fecaat	fecâʿat
feci	fecîʿ
felaket	felâket
felsefe	felsefe
fena	fenâ
ferd	ferd
fert	ferd
ferdi	ferdî
fesad	fesâd
fesat	fesâd
fevaid	fevâʾid
fevkalade	fevḳalʿâde
fevkalbeşer	fevḳalbeşer
fevk	fevḳ
feyz	feyż
feyiz	feyiż
feyzyab	feyżyâb
fezail	feżâʾil
feza	feżâ
fıkıh	fıḳh
fıkh	fıḳh
fıkhi	fıḳhî
fırka	fırḳa
fıtrat	fıṭrat
fıtri	fıṭrî
fıtriye	fıṭriyye
fikir	fikir
fikr	fikr
firak	firâḳ
fuhşiyat	fuḥşiyyât
fuhuş	fuḥş
fukaha	fuḳahâʾ
fuad	fuʾâd
füyuzat	füyûżât
gafil	ġâfil
gaflet	ġaflet
gaib	ġāʾib
garb	ġarb
garp	ġarb
garbi	ġarbî
garip	ġarîb
gaye	ġāye
gayet	ġāyet
gayr	ġayr
gayri	ġayrı
gayret	ġayret
gına	ġınâ
gıda	ġıdâ
gibta	ġıbṭa
gufran	ġufrân
gurur	ġurûr
hadd	ḥadd
haddizatında	ḥaddiẕâtında
hadim	ḫâdim
hadis	ḥadîs̱
hadise	ḥâdis̱e
hafız	ḥâfıẓ
hafi	ḫafî
hail	ḥâʾil
haiz	ḥâʾiz
hak	ḥaḳ
hakk	ḥaḳḳ
hakikat	ḥaḳīḳat
hakiki	ḥaḳīḳī
hakim	ḥâkim
hakimiyet	ḥâkimiyyet
hal	ḥâl
hala	ḥâlâ
halas	ḫalâṣ
halbuki	ḥâlbuki
halet	ḥâlet
halife	ḫalîfe
halik	ḫâliḳ
halis	ḫâliṣ
halk	ḫalḳ
halkiyet	ḫalḳıyyet
hamd	ḥamd
har	ḥâr
harab	ḫarâb
hararet	ḥarâret
hareket	ḥareket
haric	ḫâric
harika	ḫâriḳa
hariku	ḫâriḳu
hasıl	ḥâṣıl
hasılı	ḥâṣılı
hasene	ḥasene
hasret	ḥasret
hassas	ḥassâs
hassa	ḥâṣṣa
hatır	ḫâṭır
hatta	ḥattâ
havadis	ḥavâdis̱
havass	ḥavâṣṣ
havf	ḫavf
havi	ḥâvî
hayat	ḥayât
hayati	ḥayâtî
hayır	ḫayır
hayr	ḫayr
hayret	ḥayret
haysiyet	ḥays̱iyyet
haz	ḥaẓ
hazin	ḥazîn
hazine	ḫazîne
hazret	ḥażret
hazreti	ḥażret-i
hedef	hedef
helak	helâk
hemen	hemen
hendese	hendese
hesap	ḥisâb
heyet	heyʾet
heyecan	heyecân
hicret	hicret
hicri	hicrî
hidayet	hidâyet
hikaye	ḥikâye
hikmet	ḥikmet
hilaf	ḫilâf
hilkat	ḫilḳat
hilye	ḥilye
himmet	himmet
hira	ḥirâ
his	ḥis
hiss	ḥiss
hissi	ḥissî
hissiyat	ḥissiyyât
hitab	ḫiṭâb
hizmet	ḫizmet
hoca	ḫoca
hudud	ḥudûd
hukuk	ḥuḳūḳ
hukuki	ḥuḳūḳī
hukema	ḥükemâʾ
hulasa	ḫulâṣa
hulus	ḫulûṣ
humma	ḥummâ
hurafe	ḫurâfe
huruf	ḥurûf
husul	ḥuṣûl
husus	ḫuṣûṣ
hususi	ḫuṣûṣî
hususiyet	ḫuṣûṣiyyet
huzur	ḥużûr
huzzar	ḥużżâr
hüccet	ḥüccet
hükm	ḥükm
hüküm	ḥüküm
hükümet	ḥükûmet
hür	ḥür
hürmet	ḥürmet
hürriyet	ḥürriyyet
hüsn	ḥüsn
hüviyet	hüviyyet
hüzn	ḥüzn
ibadet	ʿibâdet
ibare	ʿibâre
ibaret	ʿibâret
ibda	ibdâʿ
iblağ	iblâġ
ibn	İbn
ibni	İbn-i
ibret	ʿibret
ibtida	ibtidâʾ
icab	îcâb
icap	îcâb
icmal	icmâl
icra	icrâ
icat	îcâd
icad	îcâd
içtima	ictimâʿ
içtimai	ictimâʿî
içtimaiye	ictimâʿiyye
idam	iʿdâm
iddia	iddiʿâ
idare	idâre
idrak	idrâk
ifa	îfâ
ifade	ifâde
iffet	ʿiffet
iftihar	iftiḫâr
iftirak	iftirâḳ
ihata	iḥâṭa
ihmal	ihmâl
ihsan	iḥsân
ihtar	iḫṭâr
ihtida	ihtidâʾ
ihtilaf	iḫtilâf
ihtimal	iḥtimâl
ihtiram	iḥtirâm
ihtiras	iḥtirâṣ
ihtiyaç	iḥtiyâc
ihtiyacat	iḥtiyâcât
ihtiyar	iḫtiyâr
ihya	iḥyâʾ
ikamet	iḳāmet
ikaz	îḳāẓ
ikbal	iḳbâl
ikmal	ikmâl
ikram	ikrâm
ilah	ilâh
ilahi	ilâhî
ilahiye	ilâhiyye
ilahiyyun	ilâhiyyûn
ilan	iʿlân
ilel	ʿilel
ilim	ʿilim
ilm	ʿilm
ilmi	ʿilmî
ilmen	ʿilmen
iltifat	iltifât
iltizam	iltizâm
imam	imâm
iman	îmân
imkan	imkân
imtihan	imtiḥân
inayet	ʿinâyet
infak	infâḳ
inkar	inkâr
inkılab	inḳılâb
inkişaf	inkişâf
insan	insân
insaniyet	insâniyyet
insani	insânî
inşa	inşâʾ
inşirah	inşirâḥ
intibah	intibâh
intihap	intiḫâb
intikal	intiḳāl
intişar	intişâr
intizam	intiẓâm
irade	irâde
irfan	ʿirfân
irşad	irşâd
isabet	iṣâbet
islam	İslâm
islamiyet	İslâmiyyet
isnat	isnâd
isnad	isnâd
ispat	is̱bât
istidad	istiʿdâd
istifade	istifâde
istihza	istihzâʾ
istikbal	istiḳbâl
istiklal	istiḳlâl
istirahat	istirâḥat
itaat	iṭâʿat
itibar	iʿtibâr
itidal	iʿtidâl
itikat	iʿtiḳād
itina	iʿtinâ
itiraf	iʿtirâf
itiraz	iʿtirâż
itila	iʿtilâʾ
ittihad	ittiḥâd
ittihaz	ittiḫâẕ
izah	îżâḥ
izale	izâle
izdivaç	izdivâc
izhar	iẓhâr
izzet	ʿizzet
kabahat	ḳabâḥat
kabil	ḳābil
kabiliyet	ḳābiliyyet
kabul	ḳabûl
kader	ḳader
kadim	ḳadîm
kadir	ḳādir
kafi	kâfî
kafir	kâfir
kaide	ḳāʿide
kail	ḳāʾil
kaim	ḳāʾim
kainat	kâʾinât
kalb	ḳalb
kalp	ḳalb
kalbi	ḳalbî
kamil	kâmil
kanaat	ḳanâʿat
kanun	ḳānûn
karib	ḳarîb
karin	ḳarîn
kasd	ḳaṣd
katiyen	ḳaṭʿiyyen
kati	ḳaṭʿî
kavaid	ḳavâʿid
kaza	ḳażâʾ
kelam	kelâm
kelimat	kelimât
kemal	kemâl
kemalat	kemâlât
kerem	kerem
kerim	kerîm
kerime	kerîme
kesir	kes̱îr
kesret	kes̱ret
keyfiyet	keyfiyyet
kıymet	ḳıymet
kıymetdar	ḳıymetdâr
kıyamet	ḳıyâmet
kısım	ḳısım
kısm	ḳısm
kısmen	ḳısmen
kıssa	ḳıṣṣa
kifayet	kifâyet
kiram	kirâm
kitab	kitâb
kitap	kitâb
kuvve	ḳuvve
kuvvet	ḳuvvet
kudret	ḳudret
kudsi	ḳudsî
kusur	ḳuṣûr
kutsi	ḳudsî
kuran	Ḳurʾân
küfr	küfr
külli	küllî
külliyet	külliyyet
küre	küre
küreviyet	küreviyyet
lafz	lafẓ
lakin	lâkin
latif	laṭîf
latife	laṭîfe
layık	lâyıḳ
lazım	lâzım
lehülhamd	lehü'l-ḥamd
lem	lemʿ
lemaan	lemaʿân
letafet	leṭâfet
levha	levḥa
leyle	leyle
lisan	lisân
lütuf	lüṭuf
lütf	lüṭf
lüzum	lüzûm
mabud	maʿbûd
macera	mâcerâ
madde	mâdde
maddi	mâddî
madud	maʿdûd
mağfiret	maġfiret
mağlup	maġlûb
mahal	maḥal
mahdut	maḥdûd
mahiyet	mâhiyyet
mahluk	maḫlûḳ
mahlukat	maḫlûḳāt
mahrum	maḥrûm
mahrumiyet	maḥrûmiyyet
mahsul	maḥṣûl
mahsus	maḫṣûṣ
mahz	maḥż
maişet	maʿîşet
makam	maḳām
makbul	maḳbûl
maksad	maḳṣad
maksat	maḳṣad
makul	maʿḳūl
mal	mâl
malik	mâlik
malum	maʿlûm
malumat	maʿlûmât
mamafih	maʿamâfîh
mana	maʿnâ
manevi	maʿnevî
maneviyat	maʿneviyyât
mani	mâniʿ
marifet	maʿrifet
maruf	maʿrûf
maruz	maʿrûż
masum	maʿṣûm
masumiyet	maʿṣûmiyyet
matbu	maṭbûʿ
matlub	maṭlûb
mazhar	maẓhar
mazi	mâżî
meal	meʾâl
mebde	mebdeʾ
mecbur	mecbûr
mecburiyet	mecbûriyyet
meclis	meclis
mecmua	mecmûʿa
medar	medâr
medeni	medenî
medeniyet	medeniyyet
medine	Medîne
mefhum	mefhûm
mehasin	meḥâsin
mekan	mekân
mektep	mekteb
melekut	melekût
memleket	memleket
memnu	memnûʿ
memur	meʾmûr
men	menʿ
menafi	menâfiʿ
menba	menbaʿ
mensup	mensûb
menfaat	menfaʿat
merak	merâḳ
merhamet	merḥamet
merkez	merkez
mertebe	mertebe
mesele	mesʾele
mesai	mesâʿî
mesud	mesʿûd
mesut	mesʿûd
mesuliyet	mesʾûliyyet
meşağil	meşâġil
meşhud	meşhûd
meşhur	meşhûr
meşru	meşrûʿ
meşum	meşʾûm
mevcud	mevcûd
mevcut	mevcûd
mevcudat	mevcûdât
mevcudiyet	mevcûdiyyet
mevhibe	mevhibe
mevki	mevḳiʿ
mevzu	mevżûʿ
meydan	meydân
meyus	meʾyûs
meyusiyet	meʾyûsiyyet
mezheb	meẕheb
mezhep	meẕheb
mezkur	meẕkûr
mısır	Mıṣır
miktar	miḳdâr
millet	millet
milli	millî
mihver	miḥver
minnet	minnet
misal	mis̱âl
misafir	misâfir
muahede	muʿâhede
muallim	muʿallim
muamele	muʿâmele
muasır	muʿâṣır
muazzam	muʿaẓẓam
mucib	mûcib
mucize	muʿcize
muciz	muʿciz
mucizü	muʿcizü
muhabbet	muḥabbet
muhafaza	muḥâfaẓa
muhakkak	muḥaḳḳaḳ
muhalif	muḫâlif
muhat	muḥâṭ
muhataralı	muḫâṭaralı
muhit	muḥîṭ
muhtaç	muḥtâc
muhtelif	muḫtelif
muhterem	muḥterem
muhteşem	muḥteşem
mukabil	muḳābil
mukaddem	muḳaddem
mukaddes	muḳaddes
mukayyed	muḳayyed
muktedir	muḳtedir
murad	murâd
murat	murâd
musahabe	muṣâḥabe
musibet	muṣîbet
muttali	muṭṭaliʿ
muttasıf	muttaṣıf
muvafık	muvâfıḳ
muvaffak	muvaffaḳ
muvaffakiyet	muvaffaḳiyyet
muvazzaf	muvaẓẓaf
muzır	mużır
mübarek	mübârek
mübareke	mübâreke
mübeşşir	mübeşşir
mübin	mübîn
müberra	müberrâʾ
mücerret	mücerred
mücerred	mücerred
müçtehid	müctehid
müçtehit	müctehid
müddet	müddet
müdafaa	müdâfaʿa
müessese	müʾessese
müessir	müʾes̱s̱ir
müellif	müʾellif
müfessir	müfessir
müftü	müftî
mühim	mühim
mühlik	mühlik
müjde	müjde
mükafat	mükâfât
mükellef	mükellef
mükemmel	mükemmel
mükevvenat	mükevvenât
mülahaza	mülâḥaẓa
mülk	mülk
mümin	müʾmin
mümkün	mümkin
mümkin	mümkin
münasebet	münâsebet
münasip	münâsib
münafi	münâfî
münevver	münevver
münevvere	münevvere
münezzeh	münezzeh
münir	münîr
mürebbi	mürebbî
müracaat	mürâcaʿat
mürur	mürûr
müsaade	müsâʿade
müsavat	müsâvât
müslim	müslim
müslüman	müslümân
müstakil	müstaḳil
müstefid	müstefîd
müstefit	müstefîd
müstenid	müstenid
müstenit	müstenid
müsteşrik	müsteşriḳ
müşahede	müşâhede
müşahhas	müşaḫḫaṣ
müşkül	müşkil
müştak	müştâḳ
mütalaa	müṭâlaʿa
müteaddid	müteʿaddid
müteaddit	müteʿaddid
müteal	müteʿâl
mütecelli	mütecellî
mütefekkir	mütefekkir
mütehassıs	müteḫaṣṣıṣ
mütemadi	mütemâdî
müteşekkil	müteşekkil
müteveccih	müteveccih
müthiş	müdhiş
müyesser	müyesser
nafi	nâfiʿ
nail	nâʾil
nailiyet	nâʾiliyyet
nakil	naḳil
nakl	naḳl
nam	nâm
namaz	namâz
namus	nâmûs
nasihat	naṣîḥat
nass	naṣṣ
nazar	naẓar
nazaran	naẓaran
nazariye	naẓariyye
nazım	nâẓım
nazır	nâẓır
nazif	naẓîf
nazir	naẓîr
nazm	naẓm
nebat	nebât
nebi	nebî
nebevi	nebevî
necat	necât
nefes	nefes
nefis	nefis
nefs	nefs
nef	nefʿ
nehy	nehy
netice	netîce
nevi	nevʿi
nev	nevʿ
nezahet	nezâhet
nezih	nezîh
nezd	nezd
nihayet	nihâyet
nikah	nikâḥ
nimet	niʿmet
nispet	nisbet
nisbet	nisbet
niyaz	niyâz
niyet	niyyet
nokta	noḳṭa
nur	nûr
nurani	nûrânî
nuraniyet	nûrâniyyet
nübüvvet	nübüvvet
nüfus	nüfûs
nüsha	nüsḫa
numune	nümûne
padişah	pâdişâh
pak	pâk
perde	perde
peyda	peydâ
peygamber	peyġamber
rabb	Rabb
rabbani	rabbânî
rağbet	raġbet
rağmen	raġmen
rahat	râḥat
rahmet	raḥmet
rakip	raḳīb
ravza	ravża
razı	râżı
recep	Receb
refah	refâh
rencide	rencîde
rengin	rengîn
resul	resûl
rey	reʾy
rezalet	reẕâlet
rıza	rıżâ
riayet	riʿâyet
rical	ricâl
risale	risâle
riyaziyat	riyâżiyyât
ruh	rûḥ
ruhani	rûḥânî
ruhi	rûḥî
ruhiye	rûḥiyye
rumi	Rûmî
rütbe	rütbe
saadet	saʿâdet
saat	sâʿat
sabah	ṣabâḥ
sabır	ṣabır
sabit	s̱âbit
sadakat	ṣadâḳat
sadr	ṣadr
safa	ṣafâ
safha	ṣafḥa
saf	ṣâf
saha	sâḥa
sahib	ṣâḥib
sahip	ṣâḥib
sahife	ṣaḥîfe
sahih	ṣaḥîḥ
sair	sâʾir
saltanat	salṭanat
samimi	ṣamîmî
sanat	ṣanʿat
saniye	s̱âniye
sarf	ṣarf
sarih	ṣarîḥ
sathi	saṭḥî
satır	saṭır
sebeb	sebeb
sebep	sebeb
sebil	sebîl
secde	secde
selamet	selâmet
selase	s̱elâs̱e
sema	semâʾ
semavi	semâvî
semere	s̱emere
sene	sene
serbest	serbest
sermaye	sermâye
servet	s̱ervet
sevap	s̱evâb
sevk	sevḳ
seyyar	seyyâr
sıdk	ṣıdḳ
sıfat	ṣıfat
sıhhat	ṣıḥḥat
sıyanet	ṣıyânet
sinn	sinn
siyaset	siyâset
sual	suʾâl
sudur	ṣudûr
sui	sûʾ-i
sun	ṣunʿ
suret	ṣûret
sükun	sükûn
sükut	sükût
sünnet	sünnet
sünuhat	sünûḥât
sür	sürʿ
şahıs	şaḫıṣ
şahs	şaḫṣ
şahid	şâhid
şahit	şâhid
şahsi	şaḫṣî
şair	şâʿir
şaki	şaḳī
şan	şân
şayan	şâyân
şayeste	şâyeste
şecere	şecere
şedid	şedîd
şefaat	şefâʿat
şefkat	şefḳat
şehadet	şehâdet
şehir	şehir
şek	şek
şekil	şekil
şekl	şekl
şer	şer
şerr	şerr
şeref	şeref
şerif	şerîf
şerait	şerâʾiṭ
şeriat	şerîʿat
şerik	şerîk
şeytan	şeyṭân
şiddet	şiddet
şifa	şifâʾ
şiir	şiʿr
şir	şiʿr
şuhur	şühûr
şuun	şuʾûn
şükr	şükr
şükür	şükür
şüphe	şübhe
şümul	şümûl
taalluk	taʿalluḳ
taassup	taʿaṣṣub
tab	ṭabʿ
tabaka	ṭabaḳa
tabakat	ṭabaḳāt
tabi	tâbiʿ
tabiat	ṭabîʿat
tabii	ṭabîʿî
tabiiyat	ṭabîʿiyyât
tafsilat	tafṣîlât
tahammül	taḥammül
tahkik	taḥḳīḳ
tahlil	taḥlîl
tahsil	taḥṣîl
taht	taḥt
takdir	taḳdîr
takdis	taḳdîs
takip	taʿḳīb
taklit	taḳlîd
takva	taḳvâ
talak	ṭalâḳ
taleb	ṭaleb
talep	ṭaleb
talebe	ṭalebe
talim	taʿlîm
tamam	tamâm
tamamen	tamâmen
tanzim	tanẓîm
tarafeyn	ṭarafeyn
taraf	ṭaraf
tarih	târîḫ
tarihi	târîḫî
tarik	ṭarîḳ
tarz	ṭarz
tasavvur	taṣavvur
tasdik	taṣdîḳ
tasvir	taṣvîr
tatbik	taṭbîḳ
tayin	taʿyîn
tazarru	tażarruʿ
tazim	taʿẓîm
tazyik	tażyîḳ
teadül	teʿâdül
teaddüd	teʿaddüd
teaddüt	teʿaddüd
teala	teʿâlâ
tealluk	teʿalluḳ
tebcil	tebcîl
tebliğ	teblîġ
tecelli	tecellî
tecelliyat	tecelliyyât
tecrübe	tecribe
tedarik	tedârük
tedbir	tedbîr
tedip	teʾdîb
tefekkür	tefekkür
tefsir	tefsîr
tehlike	tehlike
tehzip	tehẕîb
tekamül	tekâmül
tekrar	tekrâr
telakki	telaḳḳī
telif	teʾlîf
telkin	telḳīn
temaşa	temâşâ
temayül	temâyül
temin	teʾmîn
temiz	temîz
temsil	tems̱îl
tenevvüat	tenevvüʿât
tenvir	tenvîr
tenzih	tenzîh
terakki	teraḳḳī
terakkiyat	teraḳḳiyyât
terbiye	terbiye
tercüme	tercüme
terk	terk
tertip	tertîb
tesadüf	teṣâdüf
tesir	teʾs̱îr
tesis	teʾsîs
teslim	teslîm
tespit	tes̱bît
teşkil	teşkîl
teşri	teşrîʿ
teşvik	teşvîḳ
tetkik	tedḳīḳ
tevazu	tevâżuʿ
teveccüh	teveccüh
tevfik	tevfîḳ
tevhid	tevḥîd
tevsi	tevsîʿ
tezayüd	tezâyüd
tezayüt	tezâyüd
tezahür	teẓâhür
tezkire	teẕkire
tezyid	tezyîd
tezyin	tezyîn
tıbbi	ṭıbbî
ticaret	ticâret
ubudiyet	ʿubûdiyyet
uhde	ʿuhde
ukala	ʿuḳalâʾ
ukde	ʿuḳde
ulema	ʿulemâʾ
ulum	ʿulûm
uluhiyet	ulûhiyyet
ulvi	ʿulvî
ulviyet	ʿulviyyet
umde	ʿumde
umum	ʿumûm
umumi	ʿumûmî
umumiye	ʿumûmiyye
umur	umûr
usul	uṣûl
uzuv	ʿużuv
vaad	vaʿd
vacib	vâcib
vacip	vâcib
vahdaniyet	vaḥdâniyyet
vahdet	vaḥdet
vahiy	vaḥy
vahy	vaḥy
vaki	vâḳiʿ
vakıa	vâḳıʿa
vakıf	vâḳıf
vakit	vaḳit
vakt	vaḳt
vasat	vasaṭ
vasıf	vaṣıf
vasıl	vâṣıl
vasıta	vâsıṭa
vasi	vâsiʿ
vaz	vażʿ
vazife	vaẓîfe
vaziyet	vażʿiyyet
vazıh	vâżıḥ
veba	vebâʾ
vech	vech
veçhile	vechile
vefat	vefât
vehim	vehim
vekil	vekîl
velhasıl	ve'l-ḥâṣıl
veli	velî
velev	velev
vesaik	ves̱âʾiḳ
vesait	vesâʾiṭ
vesile	vesîle
vezaif	veẓâʾif
vicdan	vicdân
vücud	vücûd
vüsat	vüsʿat
yakin	yaḳīn
zaaf	żaʿf
zabıta	żâbıṭa
zafer	ẓafer
zahir	ẓâhir
zahiri	ẓâhirî
zaman	zamân
zannetmek	ẓannetmek
zarar	żarar
zaruret	żarûret
zaruri	żarûrî
zat	ẕât
zati	ẕâtî
zaviye	zâviye
zekat	zekât
zeka	ẕekâʾ
zelil	ẕelîl
zemin	zemîn
zeval	zevâl
zevat	ẕevât
zevce	zevce
zevceyn	zevceyn
zevç	zevc
zevc	zevc
zevcat	zevcât
zevk	ẕevḳ
zerre	ẕerre
zihin	ẕihin
zihn	ẕihn
zikir	ẕikir
zikr	ẕikr
zillet	ẕillet
ziya	żiyâʾ
ziyade	ziyâde
ziyaret	ziyâret
zuhur	ẓuhûr
zulm	ẓulm
zulüm	ẓulüm
zürriyet	ẕürriyyet
şaşaa	şaʿşaʿa
şaşaadar	şaʿşaʿadâr
müşaşa	müşaʿşaʿ
lema	lemʿa
leman	lemaʿân
tulu	ṭulûʿ
amalat	aʿmâlât
ila	iʿlâ
eşia	eşiʿʿa
eşar	eşʿâr
şeri	şerʿî
şeran	şerʿan
şerinin	şerʿinin
badel	baʿde'l
badehu	baʿdehû
badi	baʿdi
yes	yeʾs
yese	yeʾse
elan	el-ân
semi	semîʿ
tayib	taʿyîb
tevessü	tevessüʿ
izaa	iẕâʿa
inikad	inʿiḳād
tadad	taʿdâd
irza	irżâʿ
istima	istimâʿ
şale	şuʿle
huzu	ḫużûʿ
isad	isʿâd
tamik	taʿmîḳ
seba	sebʿa
neşe	neşʾe
matla	maṭlaʿ
ruyet	rüʾyet
teşeüm	teşeʾüm
mehaz	meʾḫaẕ
mecur	meʾcûr
meva	meʾvâ
iraz	iʿrâż
miyar	miʿyâr
müstemi	müstemiʿ
meşume	meşʾûme
rafet	raʾfet
tama	ṭamaʿ
lami	lâmiʿ
bedii	bedîʿi
reyin	reʾyin
mesail	mesâʾil
maduddur	maʿdûddur
müteşaibe	müteşaʿʿibe
sathı	saṭḥı
kurra	ḳurrâʾ
müfredi	müfredi
mesanid	mesânîd
kütüb	kütüb
sitte	sitte
menşe	menşeʾ
teemmül	teʾemmül
tedib	teʾdîb
tesirat	teʾs̱îrât
müessis	müʾessis
müeyyid	müʾeyyid
nisa	nisâʾ
şuara	şuʿarâʾ
üdeba	üdebâʾ
büleğa	büleġāʾ
hurema	ḥuremâʾ
kuzat	ḳużât
